Date,Open,High,Low,Close,AdjustedClose,Volume,DividendAmount
2002-12-31,24.15,25,18.43,18.89,18.89,155610600,0
2005-09-30,42.52,45.84,40.5,45.3,45.3,104700400,0
2004-11-30,34.23,41.5,34.15,39.68,39.68,168474900,0
2004-09-30,38.23,44.28,37.36,40.86,40.86,176176900,0
2015-05-29,423.82,439,414.55,429.23,429.23,51984199,0
2014-09-30,339.98,349.38,317.64,322.44,322.44,68006506,0
2011-04-29,181.58,197.8,175.37,195.81,195.81,116749400,0
2007-12-31,90.03,95.94,83.86,92.64,92.64,127062200,0
2016-03-31,556.29,603.24,538.58,593.64,593.64,93964682,0
2009-09-30,80.74,94.5,77.51,93.36,93.36,128121800,0
2006-12-29,40.26,40.64,37.7,39.46,39.46,121040700,0
2004-04-30,43.44,49.1,43.3,43.6,43.6,162636600,0
2012-07-31,229.3,240.74,212.61,233.3,233.3,77340200,0
2005-05-31,32.3,36.04,32.1,35.51,35.51,116947800,0
2002-08-30,14.31,15.99,12.78,14.94,14.94,115341600,0
2001-03-30,9.875,14,9.563,10.23,10.23,167635900,0
2012-04-30,198.02,233.84,183.65,231.9,231.9,110535400,0
2011-07-29,205.55,227.2,203.61,222.52,222.52,92808500,0
1999-12-31,87.25,113,76,76.13,76.13,246476100,0
2019-11-29,1788.01,1824.69,1722.71,1800.8,1800.8,52060472,0
2019-07-31,1922.98,2035.8,1849.44,1866.78,1866.78,73190780,0
2015-01-30,312.58,359.5,285.25,354.53,354.53,103040529,0
2013-11-29,365.63,394.0999,341.88,393.62,393.62,54207700,0
2002-11-29,19.29,24.5,18.2,23.35,23.35,206336300,0
2015-07-31,439.35,580.57,425.57,536.15,536.15,102069942,0
2015-03-31,380.85,388.4182,365.65,372.1,372.1,55502746,0
2014-03-31,358.735,383.11,330.88,336.365,336.365,75253500,0
2007-02-28,37.95,42,36.68,39.14,39.14,157975400,0
2017-04-28,888,949.59,884.49,924.99,924.99,72336605,0
2015-06-30,430.4,447.04,419.14,434.09,434.09,54989227,0
2008-10-31,71.78,71.99,43.31,57.24,57.24,332074700,0
2001-10-31,5.91,9.99,5.51,6.98,6.98,169882800,0
2012-06-29,208.44,228.35,206.37,228.35,228.35,65745600,0
2005-01-31,44.95,45.44,40.26,43.22,43.22,194935200,0
2000-02-29,67.5,85.94,63.06,68.88,68.88,207457700,0
2011-05-31,196.57,206.39,190.88,196.69,196.69,106274500,0
2008-03-31,63.59,76.93,61.2,71.3,71.3,192685600,0
2006-07-31,38.52,38.62,25.96,26.89,26.89,228663400,0
2003-06-30,36.5,37.24,32.83,36.32,36.32,171470800,0
2020-04-30,1932.97,2475,1889.15,2474,2474,124631816,0
2014-10-31,322.04,325.16,284,305.46,305.46,111120640,0
2014-07-31,325.86,364.85,311.86,312.99,312.99,99337300,0
2013-12-31,399,405.63,379.5,398.79,398.79,55686700,0
2016-12-30,752.41,782.46,736.7,749.87,749.87,73660584,0
2016-05-31,663.92,724.23,656,722.79,722.79,90623145,0
2015-10-30,511,630.72,506,625.9,625.9,97188843,0
2014-01-31,398.8,408.06,357.76,358.69,358.69,81011900,0
2004-05-28,43.45,48.68,40.55,48.5,48.5,150196500,0
2001-07-31,14.1,17.42,11.07,12.49,12.49,172078700,0
2014-06-30,312.59,340.7199,303.84,324.78,324.78,76493200,0
2012-12-31,252.54,263.11,242.75,250.87,250.87,60871200,0
2007-04-30,39.85,63.84,39.55,61.33,61.33,315622753,0
2004-08-31,38.32,40.83,34.85,38.14,38.14,180022400,0
2020-09-28,3489.58,3552.25,2871,3174.05,3174.05,107510784,0
2019-09-30,1770,1853.66,1709.22,1735.91,1735.91,62003799,0
2017-06-30,998.59,1017,927,968,968,94729701,0
2017-03-31,853.05,890.35,833.5,886.54,886.54,60722752,0
2015-02-27,350.05,389.37,350.01,380.16,380.16,70847240,0
